Titre,Circonscription,Groupe parlementaire,Parti politique d'adhésion,Type de déclaration,Format de la déclaration,Date de déclaration,Date de publication,Différentiel en jours
Eva Sas,Essonne (07),Non-inscrit,Europe Écologie Les Verts,Modification,Papier,27/06/14,22/07/14,25
Claude Bartolone,Seine-Saint-Denis (09),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,01/07/14,22/07/14,21
Marcel Rogemont,Ille-et-Vilaine (8),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,05/07/14,07/08/14,33
Jean-Jacques Guillet,Hauts-de-Seine (08),Les Républicains,Les Républicains,Modification,Papier,08/07/14,22/07/14,14
Valérie Rabault,Tarn-et-Garonne (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,16/07/14,22/07/14,6
Nathalie Kosciusko-Morizet,Essonne (04),Les Républicains,Les Républicains,Modification,Papier,18/07/14,31/07/14,13
Laure de La Raudière,Eure-et-Loir (3),Les Républicains,Les Républicains,Modification,Papier,19/07/14,23/07/14,4
Jean-Jacques Candelier,Nord (16),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Papier,21/07/14,23/07/14,2
Yves Blein,Rhône (14),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,24/07/14,31/07/14,7
Michel Françaix,Oise (3),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,25/07/14,31/07/14,6
Pascal Popelin,Seine-Saint-Denis (12),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,25/07/14,31/07/14,6
Guénhaël Huet,Manche (2),Les Républicains,Les Républicains,Modification,Papier,25/07/14,07/08/14,13
Marie Recalde,Gironde (06),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,25/07/14,15/09/14,52
Jean-Marie Sermier,Jura (3),Les Républicains,Les Républicains,Modification,Papier,28/07/14,07/08/14,10
Philippe Duron,Calvados (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,29/07/14,07/08/14,9
Chaynesse Khirouni,Meurthe-et-Moselle (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,31/07/14,07/08/14,7
Martine Martinel,Haute-Garonne (04),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,31/07/14,07/08/14,7
Christian Bataille,Nord (12),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,18/08/14,27/08/14,9
Jean-Jacques Candelier,Nord (16),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Papier,18/08/14,27/08/14,9
Frédéric Lefebvre,Français établis hors de France (01),Les Républicains,Les Républicains,Modification,Papier,05/09/14,30/01/15,147
Nathalie Kosciusko-Morizet,Essonne (04),Les Républicains,Les Républicains,Modification,Papier,17/09/14,12/03/15,176
Sandrine Mazetier,Paris (08),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,22/09/14,18/11/14,57
Marion Maréchal-Le Pen,Vaucluse (3),Non-inscrit,Front National,Modification,Papier,30/09/14,05/11/14,36
Gaby Charroux,Bouches-du-Rhône (13),Gauche Démocrate et Républicaine,Parti Communiste Français,Modification,Papier,01/10/14,05/11/14,35
Annick Lepetit,Paris (03),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,22/10/14,05/11/14,14
Linda Gourjade,Tarn (3),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,27/10/14,05/11/14,9
Patrick Lemasle,Haute-Garonne (07),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,03/11/14,18/11/14,15
Michel Liebgott,Moselle (8),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,07/11/14,17/06/15,222
Laurent Grandguillaume,Côte-d'Or (1),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,12/11/14,30/01/15,79
Alain Tourret,Calvados (6),"Radical, Républicain, Démocrate et Progressiste",Parti Radical de Gauche,Modification,Papier,14/11/14,12/03/15,118
Guillaume Larrivé,Yonne (1),Les Républicains,Les Républicains,Modification,Papier,19/11/14,30/01/15,72
Philippe Baumel,Saône-et-Loire (3),Socialiste Ecologiste et Républicain,Parti socialiste,Modification,Papier,26/11/14,30/01/15,65
