Député,Groupe,Position
Pouria Amirshahi,Non-inscrit,Pour
Sylvie Andrieux,Non-inscrit,N'a pas voté
Denis Baupin,Non-inscrit,N'a pas voté
Véronique Besse,Non-inscrit,Pour
Jacques Bompard,Non-inscrit,N'a pas voté
Gilles Bourdouleix,Non-inscrit,Pour
Gilbert Collard,Non-inscrit,Pour
Nicolas Dupont-Aignan,Non-inscrit,Pour
Jean-Christophe Fromantin,Non-inscrit,Pour
Jean Lassalle,Non-inscrit,Pour
Patrick Lebreton,Non-inscrit,N'a pas voté
Bernard Lesterlin,Non-inscrit,N'a pas voté
Marion Maréchal-Le Pen,Non-inscrit,Pour
Philippe Noguès,Non-inscrit,Pour
Thomas Thévenoud,Non-inscrit,N'a pas voté
François Asensi,GDR,Pour
Bruno Nestor Azerot,GDR,N'a pas voté
Huguette Bello,GDR,N'a pas voté
Alain Bocquet,GDR,Pour
Marie-George Buffet,GDR,Pour
Jean-Jacques Candelier,GDR,Pour
Patrice Carvalho,GDR,Pour
Gaby Charroux,GDR,Pour
André Chassaigne,GDR,Pour
Marc Dolez,GDR,Pour
Jacqueline Fraysse,GDR,Pour
Alfred Marie-Jeanne,GDR,N'a pas voté
Jean-Philippe Nilor,GDR,Pour
Nicolas Sansu,GDR,Pour
Gabriel Serville,GDR,N'a pas voté
Thierry Benoit,UDI,Pour
Charles De Courson,UDI,Pour
Laurent Degallaix,UDI,Pour
Stéphane Demilly,UDI,Pour
Yannick Favennec,UDI,Pour
Philippe Folliot,UDI,Pour
Philippe Gomes,UDI,Pour
Meyer Habib,UDI,Pour
Francis Hillmeyer,UDI,Pour
Yves Jego,UDI,Pour
Sonia Lagarde,UDI,N'a pas voté
Jean-Christophe Lagarde,UDI,Pour
Maurice Leroy,UDI,Pour
Hervé Morin,UDI,Pour
Bertrand Pancher,UDI,Pour
Michel Piron,UDI,Pour
Franck Reynier,UDI,Pour
Arnaud Richard,UDI,Pour
François Rochebloine,UDI,Pour
Maina Sage,UDI,N'a pas voté
Rudy Salles,UDI,Pour
André Santini,UDI,Pour
François Sauvadet,UDI,Pour
Jonas Tahuaitu,UDI,Pour
Jean-Paul Tuaiva,UDI,N'a pas voté
Francis Vercamer,UDI,Pour
Philippe Vigier,UDI,Pour
François-Xavier Villain,UDI,Pour
Michel Zumkeller,UDI,Pour
Patrick Weiten,UDI,Pour
