Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion
Louis Aliot,Sud-Ouest,Député Européen,Front National
Michèle Alliot-Marie,Sud-Ouest,Député Européen,Les Républicains
Eric Andrieu,Sud-Ouest,Député Européen,Parti socialiste
Marie-Christine Arnautu,Sud-Est,Député Européen,Front National
Jean Arthuis,Ouest,Député Européen,Alliance Centriste/UDI
Guillaume Balas,Ile-de-France et Français établis hors de France,Député Européen,Parti socialiste
Nicolas Bay,Nord-Ouest,Député Européen,Front National
Pervenche Berès,Ile-de-France et Français établis hors de France,Député Européen,Parti socialiste
Joëlle Bergeron,Ouest,Député Européen,Sans étiquette
Dominique Bilde,Est,Député Européen,Front National
Marie-Christine Boutonnet,Ile-de-France et Français établis hors de France,Député Européen,Front National
José Bové,Sud-Ouest,Député Européen,Sans étiquette
Steeve Briois,Nord-Ouest,Député Européen,Front National
Alain Cadec,Ouest,Député Européen,Les Républicains
Jean-Marie Cavada,Ile-de-France et Français établis hors de France,Député Européen,Génération Citoyens
Aymeric Chauprade,Ile-de-France et Français établis hors de France,Député Européen,Mouvement des Français Libres
Mireille D'Ornano,Sud-Est,Député Européen,Front National
Arnaud Danjean,Est,Député Européen,Les Républicains
Michel Dantin,Sud-Est,Député Européen,Les Républicains
Rachida Dati,Ile-de-France et Français établis hors de France,Député Européen,Les Républicains
Marielle De Sarnez,Ile-de-France et Français établis hors de France,Député Européen,Mouvement Démocrate (MoDEM)
Angélique Delahaye,Massif-Central Centre,Député Européen,Les Républicains
Karima Delli,Nord-Ouest,Député Européen,Europe Écologie Les Verts
Jean-Paul Denanot,Massif-Central Centre,Député Européen,Parti socialiste
Pascal Durand,Ile-de-France et Français établis hors de France,Député Européen,Sans étiquette
Edouard Ferrand,Sud-Ouest,Député Européen,Front National
Sylvie Goddyn,Nord-Ouest,Député Européen,Front National
Bruno Gollnisch,Sud-Est,Député Européen,Front National
Sylvie Goulard,Sud-Est,Député Européen,Mouvement Démocrate (MoDEM)
Nathalie Griesbeck,Est,Député Européen,Mouvement Démocrate (MoDEM)
Françoise Grossetête,Sud-Est,Député Européen,Les Républicains
Sylvie Guillaume,Sud-Est,Député Européen,Parti socialiste
Brice Hortefeux,Massif-Central Centre,Député Européen,Les Républicains
Yannick Jadot,Ouest,Député Européen,Europe Écologie Les Verts
Jean-François Jalkh,Est,Député Européen,Front National
Eva Joly,Ile-de-France et Français établis hors de France,Député Européen,Europe Écologie Les Verts
Marc Joulaud,Ouest,Député Européen,Les Républicains
Philippe Juvin,Ile-de-France et Français établis hors de France,Député Européen,Les Républicains
Alain Lamassoure,Ile-de-France et Français établis hors de France,Député Européen,Les Républicains
Jérôme Lavrilleux,Nord-Ouest,Député Européen,Sans étiquette
Constance Le Grip,Ile-de-France et Français établis hors de France,Député Européen,Les Républicains
Patrick Le Hyaric,Ile-de-France et Français établis hors de France,Député Européen,Parti Communiste Français
Jean-Marie Le Pen,Sud-Est,Député Européen,Sans étiquette
Marine Le Pen,Nord-Ouest,Député Européen,Front National
Gilles Lebreton,Ouest,Député Européen,Front National
Philippe Loiseau,Massif-Central Centre,Député Européen,Front National
Louis-Joseph Manscour,Outre-Mer section Atlantique,Député Européen,Parti socialiste
Dominique Martin,Sud-Est,Député Européen,Front National
Edouard Martin,Est,Député Européen,Parti socialiste
Emmanuel Maurel,Ouest,Député Européen,Parti socialiste
Jean-Luc Mélenchon,Sud-Ouest,Député Européen,Parti De Gauche
Joëlle Mélin,Sud-Ouest,Député Européen,Front National
Bernard Monot,Massif-Central Centre,Député Européen,Front National
Sophie Montel,Est,Député Européen,Front National
Nadine Morano,Est,Député Européen,Les Républicains
Elisabeth Morin-Chartier,Ouest,Député Européen,Les Républicains
Renaud Muselier,Sud-Est,Député Européen,Les Républicains
Younous Omarjee,Outre-Mer section Océan Indien,Député Européen,Parti Communiste Réunionnais
Gilles Pargneaux,Nord-Ouest,Député Européen,Parti socialiste
Vincent Peillon,Sud-Est,Député Européen,Parti socialiste
Florian Philippot,Est,Député Européen,Front National
Maurice Ponga,Outre-Mer section Pacifique,Député Européen,Rassemblement - Les Républicains
Franck Proust,Sud-Ouest,Député Européen,Les Républicains
Christine Revault D'Allonnes Bonnefoy,Ile-de-France et Français établis hors de France,Député Européen,Parti socialiste
Dominique Riquet,Nord-Ouest,Député Européen,UDI
Michèle Rivasi,Sud-Est,Député Européen,Europe Écologie Les Verts
Robert Rochefort,Sud-Ouest,Député Européen,Mouvement Démocrate (MoDEM)
Virginie Rozière,Sud-Ouest,Député Européen,Parti Radical de Gauche
Tokia Saïfi,Nord-Ouest,Député Européen,Les Républicains
Anne Sander,Est,Député Européen,Les Républicains
Jean-Luc Schaffhauser,Ile-de-France et Français établis hors de France,Député Européen,Front National
Isabelle Thomas,Ouest,Député Européen,Parti socialiste
Mylène Troszczynski,Nord-Ouest,Député Européen,Front National
Marie-Christine Vergiat,Sud-Est,Député Européen,Parti Communiste Français
