Dénomination,Département
A.I.A.-A.P.I.,987
Association des adhérents directs de  l'U.D.F.,75
Association des démocrates,
Centre des démocrates sociaux,75
Centre national des indépendants et    des paysans,75
Club perspectives et réalités,75
"Convention libérale, européenne et  sociale",75
Développement et avenir de la  Réunion,974
Fédération des indépendants,71
Groupement d'action économique et  social,13
Mouvement des radicaux de gauche,75
Parti communiste français (PCF),75
Parti communiste guadeloupéen,971
Parti progressiste martiniquais,972
Parti radical,75
Parti républicain,75
Parti social démocrate,75
Parti Socialiste (PS),75
Parti socialiste guyanais,973
Rassemblement pour la Guyane dans  la République,973
Rassemblement pour la République (R.P.R.),75
T.E.   T.I.A.R.A.M.A.,987
Union des sénateurs non inscrits,75
Union pour la Démocratie Française (U.D.F.),75
Union départementale des élus socialistes et républicains des Hautes-Pyrénées,65
Union pour la Démocratie Française (U.D.F.),75
Union pour le renouveau de Sainte-Marie (devenu l'Action),972
