Dénomination,Dépt
A.I.A.-A.P.I. (AIA API),987
Alliance (l'),988
Alliance locale des citoyens d'Orsay et Bures (l'),91
Association de recherches et d'initiatives pour  l'autogestion et le socialisme,75
Association de gestion des adhérents directs de   l'U.D.F. (AGAD-UDF),75
Association des démocrates,75
Association pour la défense et  l'information du   citoyen,75
Centre des démocrates sociaux,75
Centre national des indépendants (C.N.I.),75
Club 89,75
Club perspectives et réalités,75
Combat pour les valeurs (CPV),75
Comité de soutien pour Jean Royer,75
Convention démocratie et avenir,974
Convention Vème République,75
Convention libérale européenne et sociale,13
Convention progrès social,
Demain la France,92
Développement et avenir de la Réunion,
Fédération Charente-Maritime du parti des Verts,
Fédération des indépendants,71
Forum progressiste,
Forum républicain,
France-Unie,
Front National (FN) (84 fédérations),92
Génération écologie,75
Groupement de réflexion pour l'action municipale,
Groupement France-Réunion,974
J'aime Brest,29
Mouvement des radicaux de gauche,75
Nouvelle démocratie,75
Parti communiste français (PC),75
Parti communiste guadeloupéen,971
Parti communiste réunionnais,974
Parti pour la défense des animaux,13
Parti progressiste martiniquais,972
Parti radical,75
Parti républicain (35 fédérations),75
Parti social démocrate,75
Parti Socialiste (95 fédérations),75
Priorité Marseille Bouche-du-Rhône,973
Rassemblement des indépendants nationaux,33
Rassemblement pour la Guyane dans la République,973
Rassemblement pour la République (R.P.R.) (51 fédérations),973
Rasemblement pour l'Europe fédérale,75
Te Tiarama,9
Union centriste,75
Union des indépendants,75
Union des sénateurs non inscrits,75
Union départementale des élus socialistes et républicains des Hautes-Pyrénées,65
Union démocratique bretonne,75
Union pour la Démocratie Française (U.D.F.)( 3 fédérations),75
Union pour le renouveau de Sainte-Marie (devenu L'Action),972
Verts de Haute-Normandie,76
