Dénomination,Dépt
A gauche autrement,26
Alliance régionale (L'),62
Alliance des citoyens de Bures-Orsay,91
Alliance Gard-Cévennes,30
Alliance générale d'initiative et de réflexion (A.G.I.R.),30
Alternative rouge et verte,75
Anjou écologie autogestion,49
Association de gestion des adhérents directs de l'U.D.F.,75
Association de recherches et d'initiatives pour l'autogestion et le socialisme (A.R.I.A.S.),93
Association de soutien à Aloyse Warhouver,57
Association des démocrates,93
Centre des démocrates sociaux (C.D.S.),75
Centre national des indépendants (C.N.I.),75
Centre national des indépendants des Hauts-de-Seine,
Club 89,75
Club perspectives et réalités,75
Combat pour les valeurs,75
Comité d'appel pour l'Europe,33
Comité de soutien à jean Royer,37
Comité de soutien à Maurice Sergheraert,59
Comité départementaliste portois,974
Convention pour la Vème République,75
Convention démocratie et avenir,13
"Convention libérale, européenne et sociale",75
Convention pour le progrès social,34
Délégation pour la promotion de l'alliance,75
Demain la France,75
Développement et avenir de la Réunion,974
écologie et société,38
"écologie, alternative, autogestion (E.2A.)",38
Entau païs,64
Fédération démocratique de Franche-Comté,25
Fédération des associations Convaincre,75
Fédération départementale du C.N.I.P. de la Drôme,26
Fédération départementale du C.N.I.P. des Hauts-de-Seine,92
Forum Provence 13,13
Forum progressiste,75
Forum républicain,75
Forum des citoyens,75
France-Réunion avenir,974
France unie,75
Free-Dom,974
Front National,75
Génération écologie,75
Groupement d'action économique et social,75
Groupement France-Réunion,974
"Initiative pour la démocratie européenne, économique et sociale (I.D.E.E.S.)",94
J'aime Brest,29
Les Verts,94
Metz pour tous,57
Moselle debout,57
Mouvement action égalité (le),75
Mouvement des radicaux de gauche,75
Mouvement des réformateurs,75
Mouvement initiative démocratique de gauche,2
Mouvement progressiste socialisme et démocratie,974
Mouvement solidarité participation,75
Mouvement union de gestion communale de Plan-de-Cuques,13
Nice horizon 2000,6
Nouvelle démocratie,75
Parti communiste français (P.C.F.),75
Parti communiste réunionnais,974
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti de la loi naturelle,95
Parti martiniquais socialiste,972
Parti pour la défense des animaux,13
Parti progressiste démocratique guadeloupéen,971
Parti radical,75
Parti républicain,75
Parti social démocrate,75
Parti Socialiste (PS),75
Parti socialiste guadeloupéen,971
Partit occitan,16
Parti union nationale écologiste,13
Performance et partage,75
Priorités Marseille Bouches-du-Rhône,13
Rassemblement des démocrates et des libéraux,84
Rassemblement des indépendants nationaux (Fédération de la Girande),33
Rassemblement pour l'Europe fédérale,75
Rassemblement pour la Guyane dans la République,973
Rassemblement pour la République   (R.P.R.),75
Saint-Denis avenir solidarité,974
Socialisme Démocratie Unité Modernité,971
T.E.   T.I.A.R.A.M.A.,987
Union centriste,75
Union démocratique bretonne,44
Union des indépendants,75
Union des sénateurs non inscrits,75
Union Drôme-Sud des républicains,26
Union et rassemblement de la majorité régionale Rhône-Alpes (U.R.M.R.R.A.),69
Union pour la Démocratie Française  (U.D.F.),75
Union pour le pays malouin,35
Union pour le renouveau (devenu l'Action),972
Union républicaine Lorraine,57
Union républicaine Eure-et-Loir,28
Unité 13,13
Valeurs et démocratie française,38
Var progrès plus,83
Vert mon environnement,13
Vivre la politique autrement,13
