Dénomination,Dépt.
A gauche pour innover rassembler,75
Agir au quotidien avec Nicolas Dupont-Aignan,91
Agir pour demain,81
AI'A-A.P.I.,987
Aimer Angers,49
Alliance Méditerranée Alpes,6
Alliance nationale républicaine et démocratique,34
Alliance pour la souveraineté de la France,92
Alternative rouge et verte,75
Argenteuil que nous aimons,95
Arias 94,94
Assemblée des alliances de citoyens,75
Association 6e union,75
Association de gestion des adhérents directs de l'U.D.F.,75
Association de soutien à l'action de Nicolas Saokozy,92
Association des amis de Jacques Chirac,75
Association des indépendants de progrès,87
Association Paris 15ème,75
"Association Parti socialiste, Parti radical socialiste et apparentés",75
"Association pour la démocratie, l'écologie et la solidarité",38
Association pour la réforme,75
Association pour l'information des habitants du 16ème arrondissement,75
Association pour une République citoyenne,75
Avec vous pour le 18ème [arrondissement],75
Brétigny autrement : une gauche pluraliste,91
Cap 21,75
Centre national des indépendants et des paysans,75
"Chasse, pêche, nature et traditions",64
Collectifs des votes blancs,44
Combat ouvrier,972
Combat pour les valeurs,75
Comité central bonapartiste,20B
Comité d'action et de réflexion départementale,93
Comité de soutien à Patrick Bobet,33
Comité des citoyens montreuillois,93
Comité pour Saint-Michel,91
Comité pour Paris,75
Condom citoyenne-Condom autrement,
Confédération des écologistes indépendants,34
Confédération nationale Avenir France République,25
Convention pour une alternative progressiste,75
Convergence régionale,75
Convergences Champigny,94
Convergences Gilles Carrez,94
COTELEC,75
Croire à Autun,71
Démocratie chrétienne française,75
Démocratie et liberté,32
Démocratie libérale,75
Des villages dans la ville,94
Dialogue,69
Droite libérale chrétienne,69
écologie sociale,85
Eden-République et démocratie (ex Entente Démocratie écologie en Normandie),76
énergie France,75
Ensemble pour Gonesse,95
Ensemble pour la France,38
Ensemble pour Paris,75
Ensemble pour Roubaix,59
Entente citoyenne,94
Entente républicaine - le parti azuréen,6
Euskal Batasuna,64
FETIA API,987
Fonsorbes-Citoyenneté 2000,31
Force démocrate,75
Forum des républicains sociaux,78
France 9,75
France d'aujourd'hui et de demain,31
France moderne,75
Francheville au coeur,69
Frankiz Breizh/Liberté Bretagne,29
Free-Dom,974
Front de libération de la Polynésie,987
Front national,75
Futurs-Mouvement des refondateurs communistes,93
Génération écologie,75
Génération républicaine,90
Grenoble 2001,38
Grenoble est à vous,38
Groupe d'action économique et sociale,13
Groupe d'études Municipales d'Eure-et-Loir (GEM 28),28
Groupement des élus de l'U.D.F.,75
Groupement France-Réunion,974
Guadeloupe unie socialisme et réalités,971
Idées forces,92
Indre démocratie,36
Initiative républicaine,75
Initiatives citoyennes,44
Initiatives pour le développement du Sud,974
"Initiatives pour une démocratie européenne, économique et sociale",94
La France en tête,84
La restauration nationale,75
La volonté de vivre ensemble,68
L'Action,972
L'Action de Gilbert Meyer,68
L'Alliance (ex Une nouvelle Calédonie pour tous),988
L'Alliance régionale,59
L'étang salé libre,974
Le 15ème pour Paris,75
Le parti gaulliste (ex initiatives pour la Réunion),974
Les Alternatifs,75
Les nouveaux écologistes-hommes-nature - animaux,13
Les Verts,75
Ligue communiste révolutionnaire,75
Lutte ouvrière,75
Lyon-Rhône-Alpes 2007,69
Metz pour tous,57
Mouvement d'ouverture,75
Mouvement d'union de gestion communale de la ville de Plan-de-Cuques,13
Mouvement de la gauche progressiste,72
Mouvement Démocratie alsacienne,67
Mouvement Démocratie lorraine,57
Mouvement départementaliste mahorais,976
Mouvement des citoyens,75
Mouvement des réformateurs,75
Mouvement des retraités de France-Convergences citoyennes,19
Mouvement des Seine-et-Marnais,77
Mouvement écologiste indépendant,44
"Mouvement Emploi, Environnement, Sécurité en Seine-et-Marne",77
"Mouvement Hommes, Animaux, Nature",75
Mouvement indépendantiste martiniquais,972
Mouvement National Républicain,75
Mouvement populaire franciscain,972
Mouvement pour la démocratie directe,67
Mouvement pour la France,75
Mouvement pour l'information et la responsabilité des élus,75
Mouvement progressiste Socialisme et démocratie,974
Mouvement Renouveau inter-générations (ex Mouvement retraite inter-génération),69
Nanterre maintenant,92
Nouvelle Union pour la Démocratie Française (ex U.D.F.),75
Parti blanc,14
Parti communiste français,75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais,974
Parti de la loi naturelle,95
Parti des citoyens de l'avenir,76
Parti des travailleurs,75
Parti populaire pour la démocratie française (ex Club perspectives et réalités),75
Parti pour la défense des animaux,13
Parti pour la liberté,75
Parti progressiste démocratique guadeloupéen,971
Parti progressiste martiniquais,972
Parti Radical,75
Parti radical de gauche (ex parti radical de gauche M.R.G.),75
Parti Socialiste,75
Parti socialiste gaudeloupéen,971
Parti socialiste guyanais,973
Participation et liberté,75
Partit occitan,10
Pour l'Aquitaine,33
Pour un Paris exemplaire,75
Priorité Réunion,974
Rassemblement des contribuables français,75
Rassemblement Poitiers-sud,86
Rassemblement pour la Calédonie dans la République,988
Rassemblement pour la France,75
Rassemblement pour la France et l'indépendance de l'Europe,75
Rassemblement pour la Guyane dans la République,973
Rassemblement Pour la République,75
Rassemblement pour le Sud-Essonne,91
Rassemblement pour Levallois,92
Rassembler et agir pour le Boulonnais,62
Rassembler pour agir,95
Régions et peuples solidaires,56
Réussir ensemble en Dordogne-Périgord,24
Savoie d'aujourd'hui,73
Solidaires-Régions-écologie,20A
Solidarité Ecologie gauche alternative,75
Solidarité Ecologie Haut-Rhin,
(devenu Citoyenneté Solidarité écologie),68
Solidarité et progrès,75
Tahoeraa huiraatira,987
Tarbes 2001,65
Toulouse pour tous,31
Tous pour le 13ème [arrondissement],75
Trop d'immigrés-La France aux français,95
Union centriste,75
Union centriste et libérale,974
Union démocratique bretonne,44
Union des contribuables de France,37
Union des martiniquais démocrates,972
Union du peuple alsacien,67
Union et démocratie (ex Ecully 2001),69
Union et rassemblement majorité régionale Rhône -Alpes,1
Union pour Châtillon,92
Union pour l'Albigeois,81
Union pour l'avenir de Mantes-la-jolie,78
Union pour l'avenir du 16ème-Sud,75
Union pour l'avenir du pays de Ploërmel,56
Union pour la VIIème,95
Union pour la Savoie,73
Union pour la semaine de 4 jours,
(devenu Réseau nouvelle donne),75
Union pour le pays malouin,35
Union pour Lyon,69
Union pour Muret,31
Union pour Saint-Chamond,42
Union pour Saint-Sébastien-sur-Loire,44
Union républicaine et d'actions communautaires,13
Union républicaine lorraine,57
Union républicaine pour l'Eure-et-Loir,28
Unione di u populu corsu,20A
Vedene efficacité,38
Vivre à Luisant,28
Vivre à Schoelcher,972
Walwari,973
