"DENOMINATION
de la formation politique",,DEPARTEMENT du siège,,NOM ET PRENOM du principal responsable (2),NOM ET PRENOM du trésorier
A Gauche innover rassembler,,Paris,,Migaud (Didier),Bartolone  (Claude)
AIA API,,Polynésie,,Vernaudon (Emile),Buillard (Joël)
Act Up Groupe,,Paris,,Bourgeois Fisson (Elise),Jablonski (Olivier)
Agir au quotidien avec Nicolas Dupont Aignan,,Essonne,,Grouet (Michèle),Wacquiez (Marie Hélène)
Agir ensemble pour Levallois Perret,,Hauts de Seine,,De Courson (Arnaud),Mehanna (Marwan)
Agir pour demain,,Tarn,,Folliot (Philippe),Burlats  (Jacques)
Aimer Angers,,Maine et Loire,,Carre (Hervé ),Bachelot (Jean Claude)
Alliance européenne pour la paix la prospérit le partage (ex Alliance nationale républicaine et démocratique),,Hérault,,Meynier  (Francis),Pas de trésorier
Alliance Méditerranée Alpes,,Alpes Maritimes,,Grisoni (Gilbert),Lemaire (Serge)
Alliance pour la souveraineté de la France,,Hauts de Seine,,Choisel (Francis),Auge (Daniel)
Alternative rouge et verte,,Paris,,Pirot (M Françoise),Merme (Henri)
Argenteuil que nous aimons,,Val d’Oise,,Mignonac (Michèle),Marret (Philippe)
Arias  4,,Val de Marne,,Viens (Gaston),Sancho (Claude)
Association 13e union,,Paris,,Rassat (Marie Laure),Armessen (Jacques)
Association 6e  Union,,Paris,,Lecoq (Jean Pierre),Bossard (Jean Claude)
Association de gestion des adhérents directs de l’UDF,,Paris,,Wiltzer (Pierre André ),Cartigny  (Ernest)
Association de soutien  l’action de Nicolas Sarkozy,,Hauts de Seine,,Estrosi (Christian),Hortefeux (Brice)
Association des amis de Jacques Chirac,,Paris,,Pons (Bernard),De la Baume (Fran ois)
Association Paris 15e,,Paris,,Goujon (Philippe),Marchetti (Jean Antoine)
Association parti socialiste parti radical socialiste et apparentés,,Paris,,Hollande (François),Claeys (Alain)
Association pour l’avenir de la Haute Saintonge et de Sain tonge Atlantique,,Charente-Maritime,,Renu (Jean michel),Doucet (René)
Association pour la démocratie l’éécologie et la solidarité,,Isère,,Meriaux (Pierre),Comparat  (Vincent)
Association pour la réforme,,Paris,,Bazire (Nicolas),Goujon (Philippe)
Association pour l’information des habitants du 16e arron dissement,,Paris,,Leban (Gérard),Habib Deloncle (Florence)
Association pour une droite unie dans la 10e circonscription des Bouches du Rhône,,Bouches du Rhône,,Mallie (Richard),Perrin (Jean Claude)
Association pour une gauche républicaine,,Haute Saône,,Houlley (Eric),Aubert (Jean Paul)
