DÉNOMINATION de la formation politique,LOCALISATION du siège
À GAUCHE INNOVER RASSEMBLER,Paris
AIA – API,Polynésie
ACT UP-GROUP,Paris
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,Essonne
AGIR ENSEMBLE POUR LEVALLOIS ,Hauts-de-Seine
AGIR POUR DEMAIN ,Tarn
AIMER ANGERS,Maine-et-Loire
ALLIANCE MÉDITERRANÉE ALPES (LES AMIS DE CHRISTIAN ESTROSI),Alpes-Maritimes
ALLIANCE NATIONALE RÉPUBLICAINE ET DÉMOCRATIQUE,Gard
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,Hauts-de-Seine
APPEL POUR UNE INSURRECTION DES CONSCIENCES,Ardèche
ARCHIPEL DEMAIN,Saint-Pierre-et-Miquelon
ARGENTEUIL QUE NOUS AIMONS,Val-d’Oise
ARIAS 94,Val-de-Marne
ASSOCIATION  13-UNION ,Paris
ASSOCIATION 6e   UNION,Paris
ASSOCIATION DE GESTION DES ADHÉRENTS DIRECTS DE L’UDF ,Paris
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,Hauts-de-Seine
ASSOCIATION DROITE DE FRANCE,Paris
ASSOCIATION PARIS 15,Paris
"ASSOCIATION PARTI SOCIALISTE, PARTI RADICAL SOCIALISTE ET APPARENTÉS ",Paris
"ASSOCIATION POUR LA DÉMOCRATIE, L’ÉCOLOGIE ET LA SOLIDARITÉ",Isère
ASSOCIATION POUR LA RÉFORME ,Paris
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE MARITIME ,Charente-Maritme
ASSOCIATION POUR L’INFORMATION DES HABITANTS DU 16e  ARRONDISSEMENT,Paris
ASSOCIATION POUR UNE DROITE UNIE DANS LA 10e  CIRCONSCRIPTION DES BOUCHES-DU-RHÔNE,Bouches-du-Rhône
ASSOCIATION POUR UNE GAUCHE RÉPUBLICAINE ,Haute-Saône
AUTREMENT RASSEMBLEMENT CITOYEN POUR LA DÉMOCRATIE ,Rhône
AVEC VOUS POUR LE 18e ,Paris
AVENIR ,
BÂTIR LE PAYS MARTINIQUE,Martinique
BRÉTIGNY AUTREMENT : UNE GAUCHE PLURALISTE ,Essonne
BUREAU NATIONAL DU PARTI DU VOTE BLANC,Loiret
CAP 21 ,Paris
CAP SUR L’AVENIR 13,Bouches-du-Rhône
CENTRE NATIONAL DES INDÉPENDANTS ET DES PAYSANS,Paris
"CHASSE, PÊCHE, NATURE ET TRADITIONS",Pyrénées-Atlantiques
CHÂTENAY-MALABRY À PLEINE VIE,Hauts-de-Seine
COMBAT OUVRIER,
COMBAT POUR LES VALEURS,Paris
COMITÉ CENTRAL BONAPARTISTE,Corse-du-Sud
COMITÉ D’ACTION ET DE RÉFLEXION DÉPARTEMENTALE ,Seine-Saint-Denis
COMITÉ DE SOUTIEN À PATRICK BOBET ,Gironde
COMITÉ DES CITOYENS MONTREUILLOIS,Seine-Saint-Denis
COMITÉ POUR SAINT-MICHEL,Essonne
CONCORDAT CITOYEN ,Seine-Saint-Denis
