"DÉNOMINATION
de la formation politique (1)","LOCALISATION
du siège"
AIA-API,Mahina (98709)
ACTION SAVOIE PREMIÈRE (EX-SAVOIE PREMIÈRE),Chambéry (73000)
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,Yerres (91330)
AGIR ENSEMBLE POUR LEVALLOIS-PERRET,Levallois (92300)
AGIR POUR DEMAIN ,Castres (81100)
AGIR    POUR    L’ÉGALITÉ,Paris (75002)
AIMER      ANGERS,Angers (49100)
ALLIANCE MÉDITERRANÉE-ALPES (LES AMIS DE CHRISTIAN ESTROSI) ,Nice (06200)
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,Boulogne-Billancourt  (92100)
ALLIANCE      ROYALE,Paris (75017)
ALTERNATIVE   DÉMOCRATIE   SOCIALISME ,Limoges (87000)
ALTERNATIVE    LIBÉRALE ,Paris (75116)
APPEL POUR UNE INSURRECTION DES CONSCIENCES,Les Vans (07140)
ARCHIPEL      DEMAIN,Saint-Pierre-et-Miquelon  (97500)
ARGENTEUIL QUE NOUS AIMONS ,Argenteuil  (95100)
ARIAS      94,Orly (94310)
ASSOCIATION 6e UNION,Paris (75261)
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,Neuilly-sur-Seine  (92200)
ASSOCIATION   DÉMOCRATIE   ET   LIBERTÉ,Fleurance (32501)
ASSOCIATION DROITE DE FRANCE (EX-PARTI POUR LA LIBERTÉ),Paris (75002)
ASSOCIATION NATIONALE DES AMIS DE NICOLAS SARKOZY,Limoges (87000)
ASSOCIATION    PARIS    15,Paris (75015)
ASSOCIATION PARTI SOCIALISTE - PARTI RADICAL DE GAUCHE ET APPARENTÉS ,Paris (75007)
"ASSOCIATION POUR LA DÉMOCRATIE, L’ÉCOLOGIE ET LA SOLIDARITÉ",Grenoble (38000)
ASSOCIATION POUR LA RÉFORME ,Paris (75015)
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE MARITIME ,Saint-Georges-de-Didonne  (17110)
AUJOURD’HUI AUTREMENT,Paris (75012)
AUTREMENT LA VIE PUBLIQUE AUTREMENT,Grenoble (38000)
AVEC VOUS POUR LE 18e ,Paris (75018)
AVENIR     ,–
BÂTIR LE PAYS MARTINIQUE ,Lamentin (97232)
BOUGEONS-NOUS,Saint-Martin-d’Hères  (38400)
BRÉTIGNY AUTREMENT : UNE GAUCHE PLURALISTE ,Le Plessis-Pâté (91220)
CAP SUR L’AVENIR 13,Marseille (13005)
CENTRE NATIONAL DES INDÉPENDANTS ET DES PAYSANS ,Paris (75008)
CHAMPIGNY   CAP   OUEST ,Champigny-sur-Marne  (94500)
CHANGEONS       VILLEURBANNE,Villeurbanne  (69100)
CHASSE PÊCHE NATURE ET TRADITIONS,Pau (64075)
CHÂTENAY-MALABRY À PLEINE VIE,Châtenay-Malabry (92290)
CITOYENNETÉ ACTION PARTICIPATION POUR LE 21e SIÈCLE (CAP 21),Paris (75008)
COMBAT     OUVRIER ,Fort-de-France (97200)
COMBAT POUR LES VALEURS ,Paris (75015)
COMITÉ D’ACTION ET DE RÉFLEXION DÉPARTEMENTALE ,Neuilly-Plaisance (93360)
COMITÉ DE SOUTIEN À PATRICK BOBET (EX-COMITÉ DE SOUTIEN À JEAN VALLEIX AU 4 MAI 2001) ,Le Bouscat (33110)
COMITÉ DES CITOYENS MONTREUILLOIS,Montreuil-sous-Bois  (93100)
COMITÉ   POUR   SAINT-MICHEL ,Saint-Michel-sur-Orge  (91240)
COMMUNISTES      ,Paris (75014)
CONCORDAT    CITOYEN ,Le Raincy (93340)
CONDOM    CITOYENNE-CONDOM    AUTREMENT,Condom (32100)
CONFÉDÉRATION DES ÉCOLOGISTES INDÉPENDANTS ,Montpellier (34000)
CONVENTION     CITOYENNE ,Marseille (13001)
CONVENTION POUR LA RÉNOVATION DES INSTITUTIONS DE LA RÉPUBLIQUE ET DE L’ÉTAT (CRIRE),Lyon (69005)
CONVENTION POUR UNE ALTERNATIVE PROGRESSISTE ,Paris (75003)
CONVERGENCES      CHAMPIGNY,Champigny-sur-Marne  (94500)
CONVERGENCES-GILLES    CARREZ ,Champigny-sur-Marne  (94500)
