DÉNOMINATION DE LA FORMATION POLITIQUE (1),"LOCALISATION
du siège"
À GAUCHE BESOIN D’OPTIMISME,75012
ACTION (L’) ,97230
ACTION   SAVOIE   PREMIÈRE,73000
ADSAV ! LE PARTI DU PEUPLE BRETON ,22950
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN ,91330
AGIR    ENSEMBLE ,95330
AGIR ENSEMBLE POUR LEVALLOIS ,92300
AGIR POUR DEMAIN ,81100
AGIR POUR L’ÉGALITÉ,75009
AI’A. –API « TERRE NOUVELLE »,98709
AIMER     ANGERS,49100
ALLIANCE CENTRISTE (L’) ,75006
ALLIANCE MÉDITERRANÉE ALPES (LES AMIS DE CHRISTIAN ESTROSI),6000
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE (L’) ,92100
ALLIANCE RÉGIONALE (L’) ,59000
ALLIANCE    ROYALE ,75017
ALTERNANCE POUR L’ÎLE DE FRANCE ,75010
ALTERNATIFS   (LES) ,75011
ALTERNATIVE   DÉMOCRATIE   SOCIALISME ,87000
ALTERNATIVE    LIBÉRALE,75116
AMIS DE MAX-ANDRÉ PICK (LES),59100
AMIS DE RICHARD MALLIÉ (LES),13120
ARCHIPEL    DEMAIN ,97500
ARGENTEUIL QUE NOUS AIMONS ,95100
ARIAS     94,94310
ASSOCIATION 6ÈME UNION (L’),75265
ASSOCIATION DE SOUTIEN À L’ACTION DE JEAN FRANÇOIS LAMOUR,75015
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY (L'),92200
ASSOCIATION DE SOUTIEN À L’ACTION D’ÉRIC WOERTH (L’),60300
ASSOCIATION DÉMOCRATIE ET LIBERTÉ (L’) ,32500
ASSOCIATION DES CYBERMILITANTS DE LA DROITE ET DU CENTRE (L'),75015
ASSOCIATION DES OBJECTEURS DE CROISSANCE (L’),94170
ASSOCIATION DROITE DE FRANCE (L’) ,75006
ASSOCIATION FRANÇOISE DE PANAFIEU POUR LE 17ÉME (L’) ,75016
"ASSOCIATION MÛRS-ERIGNÉ, ENSEMBLE (L’)",49610
ASSOCIATION NATIONALE DES AMIS DE NICOLAS SARKOZY,33520
ASSOCIATION PARIS 15 (L’),75015
ASSOCIATION POUR LA DÉMOCRATIE L’ÉCOLOGIE ET LA SOLIDARITE,38000
ASSOCIATION POUR LA RÉFORME (L’),75006
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE ATLANTIQUE (L’),17110
ASSOCIATION PSLE - NOUVEAU CENTRE,75007
AUJOURD’HUI AUTREMENT ,75012
AVEC VOUS POUR LE 18ÈME,75018
AVENIR ENSEMBLE (L’) ,98800
AVENIR MEILLEUR POUR LA POPULATION DE LA RÉUNION DANS LA FRANCE ET DANS L’EUROPE (UN) ,97490
BÂTIR LE PAYS MARTINIQUE ,97232
BOUGEONS-NOUS,38400
CAP SUR L’AVENIR ,97500
CAP SUR L’AVENIR 13,13005
CENTRE   DÉMOCRATE ,93330
CENTRE DROIT LIBÉRAL,84120
CENTRE NATIONAL DES INDÉPENDANTS ET PAYSANS,75008
CHANGEONS     VILLEURBANNE,69100
CHANGER C’EST POSSIBLE ,78140
CHANGER POUR GAGNER ,1450
CHASSE PÊCHE NATURE ET TRADITIONS ,64075
CHÂTEAUDUN ACTIONS RENOUVEAU,28200
CHATENAY MALABRY À PLEINE VIE ,92290
CHÊNE    (LE),64500
