DÉNOMINATION DE LA FORMATION POLITIQUE,"LOCALISATION
du siège"
À GAUCHE BESOIN D’OPTIMISME,75012
À     STRASBOURG ,67000
ACTION   SAVOIE   PREMIÈRE ,73000
ADSAV ! LE PARTI DU PEUPLE BRETON,22000
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,91330
AGIR      ENSEMBLE,95330
AGIR   ENSEMBLE   POUR   LEVALLOIS ,92300
AGIR    POUR    COLOMBES,92700
AGIR POUR DEMAIN ,81100
AGIR   POUR   L’ÉGALITÉ ,75009
AI’A-API « TERRE NOUVELLE » ,98709
AIMER     ANGERS ,49100
ALLIANCE      CENTRISTE,75006
ALLIANCE MÉDITERRANÉE-ALPES (LES AMIS DE CHRISTIAN ESTROSI),6000
ALLIANCE POPULAIRE POUR LE CALAISIS,62100
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,92100
ALLIANCE       RÉGIONALE,59000
ALLIANCE       ROYALE,75017
ALTERNATIVE    DÉMOCRATIE    SOCIALISME ,87000
ALTERNATIVE     LIBÉRALE ,75116
ARCHIPEL       DEMAIN,97500
ARGENTEUIL QUE NOUS AIMONS,95100
ARIAS       94,94290
ASSOCIATION 6e UNION,75265
ASSOCIATION DE SOUTIEN À L’ACTION DE BENOIST APPARU ,51000
ASSOCIATION DE SOUTIEN À L’ACTION DE JEAN-FRANÇOIS LAMOUR ,75015
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,92200
ASSOCIATION DE SOUTIEN À L’ACTION D’ÉRIC WOERTH ,60300
ASSOCIATION   DÉMOCRATIE   ET   LIBERTÉ,32500
ASSOCIATION DES CYBERMILITANTS DE LA DROITE ET DU CENTRE ,75015
ASSOCIATION DES OBJECTEURS DE CROISSANCE ,94170
ASSOCIATION   DROITE   DE   FRANCE,75006
ASSOCIATION FRANÇOISE DE PANAFIEU POUR LE 17e ,75016
"ASSOCIATION    MÛRS-ERIGNÉ,    ENSEMBLE ",49610
ASSOCIATION NATIONALE DES AMIS DE NICOLAS SARKOZY ,33520
ASSOCIATION PARIS 15 ,75015
ASSOCIATION POUR LA DÉMOCRATIE L’ÉCOLOGIE ET LA SOLIDARITÉ,38000
ASSOCIATION POUR LA RÉFORME ,75007
ASSOCIATION POUR L’AVENIR DE LA HAUTE SAINTONGE ET DE LA SAINTONGE ATLANTIQUE,17110
ASSOCIATION PSLE - NOUVEAU CENTRE ,75007
AUJOURD’HUI        AUTREMENT,75015
AVEC VOUS POUR LE 18e ,75018
AVENIR      ENSEMBLE,98800
BÂTIR LE PAYS MARTINIQUE,97232
BLOC IDENTITAIRE - MOUVEMENT SOCIAL EUROPÉEN,6300
BOUGEONS-NOUS      ,38400
CAP    SUR    L’AVENIR,97500
CAP SUR L’AVENIR 13,13005
CENTRE     DÉMOCRATE ,93330
