"DÉNOMINATION
de la formation politique","LOCALISATION
du siège"
,
100 % ASNIÈRES,92600
"À GAUCHE, BESOIN D’OPTIMISME",75012
À STRASBOURG,67000
ACTION ÎLE-DE-FRANCE,75016
ACTION SAVOIE PREMIÈRE,73000
ACTION TANK,78250
ADSAV ! LE PARTI DU PEUPLE BRETON,22000
AGIR AU QUOTIDIEN AVEC NICOLAS DUPONT-AIGNAN,91330
AGIR ENSEMBLE,95330
AGIR ENSEMBLE POUR LEVALLOIS,92300
AGIR POUR DEMAIN,81100
AGRANDISSONS LA FRANCE !,75007
AI’A.–API « TERRE NOUVELLE »,98709
AIMER ANGERS,49100
ALLEZ LA FRANCE,75004
ALLIANCE CENTRISTE,75006
ALLIANCE POPULAIRE POUR LE CALAISIS,62100
ALLIANCE POUR LA SOUVERAINETÉ DE LA FRANCE,92100
ALLIANCE ROYALE,75017
ALTERNANCES PARISIENNES,75004
ALTERNATIVE DÉMOCRATIE SOCIALISME,87000
AMBITION CITOYENNE ET SOLIDAIRE POUR L’YONNE,89000
ANGOULÊME AMBITION,16000
APCMA2012,75005
ARCHIPEL DEMAIN,97500
ARGENTEUIL QUE NOUS AIMONS,95100
ARIAS 94,94290
ASSOCIATION 6e UNION,75265
ASSOCIATION CONSTRUIRE L’AVENIR,78300
ASSOCIATION DE SOUTIEN À L’ACTION DE JEAN FRANÇOIS LAMOUR,75015
ASSOCIATION DE SOUTIEN À L’ACTION DE NICOLAS SARKOZY,92200
ASSOCIATION DE SOUTIEN À L’ACTION D’ÉRIC WOERTH,60300
ASSOCIATION DÉMOCRATIE ET LIBERTÉ,32500
ASSOCIATION DES AMIS D’ÉRIC CIOTTI,6300
ASSOCIATION DES BÂTISSEURS DE GUYANE,
ASSOCIATION DES COMMUNISTES UNITAIRES,93200
ASSOCIATION DES OBJECTEURS DE CROISSANCE,94170
ASSOCIATION DROITE DE FRANCE,75006
ASSOCIATION FRANÇAIS DE l’ÉTRANGER – CITOYENS EN MOUVEMENT,78670
ASSOCIATION FRANÇOISE DE PANAFIEU POUR LE 17e,75016
"ASSOCIATION MÛRS-ÉRIGNÉ, ENSEMBLE",49610
