Titre,Mandat parlementaire,Parti politique d'adhésion,Circonscription,Candidat,Candidat
Xavier Breton,Député,Les Républicains,Ain (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Charles de La Verpillière,Député,Les Républicains,Ain (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Stéphanie Pernod Beaudon,Député,Les Républicains,Ain (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michel Voisin,Député,Les Républicains,Ain (4),Non,Ne se représente pas
Damien Abad,Député,Les Républicains,Ain (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
René Dosière,Député,Sans étiquette,Aisne (1),Non,Ne se représente pas
Julien Dive,Député,Les Républicains,Aisne (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Louis Bricout,Député,Parti socialiste,Aisne (3),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Marie-Françoise Bechtel,Député,République Moderne,Aisne (4),Non,N'accède pas au second tour
Jacques Krabal,Député,Parti Radical de Gauche,Aisne (5),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Guy Chambefort,Député,Parti socialiste,Allier (1),Non,Ne se représente pas
Bernard Lesterlin,Député,Sans étiquette,Allier (2),Non,Ne se représente pas
Gérard Charasse,Député,Parti Radical de Gauche,Allier (3),Non,Ne se représente pas
Gilbert Sauvan,Député,Parti socialiste,Alpes-de-Haute-Provence (1),Non,Ne se représente pas
Éric Ciotti,Député,Les Républicains,Alpes-Maritimes (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Charles-Ange Ginesy,Député,Les Républicains,Alpes-Maritimes (2),Non,Ne se représente pas
Rudy Salles,Député,Nouveau Centre/UDI,Alpes-Maritimes (3),Non,N'accède pas au second tour
Jean-Claude Guibal,Député,Les Républicains,Alpes-Maritimes (4),Non,Ne se représente pas
Marine Brenier,Député,Les Républicains,Alpes-Maritimes (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Lionnel Luca,Député,Les Républicains,Alpes-Maritimes (6),Non,Se présente comme suppléant
Jean Léonetti,Député,Les Républicains,Alpes-Maritimes (7),Non,Ne se représente pas
Bernard Brochand,Député,Les Républicains,Alpes-Maritimes (8),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michèle Tabarot,Député,Les Républicains,Alpes-Maritimes (9),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Olivier Dussopt,Député,Parti socialiste,Ardèche (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Sabine Buis,Député,Parti socialiste,Ardèche (3),Non,N'accède pas au second tour
Berengère Poletti,Député,Les Républicains,Ardennes (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Christophe Leonard,Député,Parti socialiste,Ardennes (2),Non,N'accède pas au second tour
Jean-Luc Warsmann,Député,Les Républicains,Ardennes (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Frédérique Massat,Député,Parti socialiste,Ariège (1),Non,Ne se représente pas
Alain Fauré,Député,Parti socialiste,Ariège (2),Non,N'accède pas au second tour
Nicolas Dhuicq,Député,Les Républicains,Aube (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Claude Mathis,Député,Les Républicains,Aube (2),Non,Se présente comme suppléant
Gérard Menuel,Député,Les Républicains,Aube (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Jean-Claude Perez,Député,Sans étiquette,Aude (1),Non,N'accède pas au second tour
Marie-Hélène Fabre,Député,Parti socialiste,Aude (2),Non,N'accède pas au second tour
Jean-Paul Dupré,Député,Parti socialiste,Aude (3),Non,Ne se représente pas
Yves Censi,Député,Les Républicains,Aveyron (1),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Marie-Lou Marcel,Député,Parti socialiste,Aveyron (2),Non,Ne se représente pas
Arnaud Viala,Député,Les Républicains,Aveyron (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Éric Elkouby,Député,Parti socialiste,Bas-Rhin (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Philippe Bies,Député,Parti socialiste,Bas-Rhin (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
André Schneider,Député,Les Républicains,Bas-Rhin (3),Non,Ne se représente pas
Sophie Rohfritsch,Député,Les Républicains,Bas-Rhin (4),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Antoine Herth,Député,Les Républicains,Bas-Rhin (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Laurent Furst,Député,Les Républicains,Bas-Rhin (6),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Patrick Hetzel,Député,Les Républicains,Bas-Rhin (7),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Frédéric Reiss,Député,Les Républicains,Bas-Rhin (8),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Claude Sturni,Député,Sans étiquette,Bas-Rhin (9),Non,Ne se représente pas
Stéphane Ravier,Sénateur,Front National,Bouches-du-Rhône,Oui,Accède au second tour des législatives sous l'étiquette Front National
Valérie Boyer,Député,Les Républicains,Bouches-du-Rhône (01),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Dominique Tian,Député,Les Républicains,Bouches-du-Rhône (02),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Patrick Mennucci,Député,Parti socialiste,Bouches-du-Rhône (04),Non,N'accède pas au second tour
Marie-Arlette Carlotti,Député,Parti socialiste,Bouches-du-Rhône (05),Non,Ne se représente pas
Guy Teissier,Député,Les Républicains,Bouches-du-Rhône (06),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Henri Jibrayel,Député,Parti socialiste,Bouches-du-Rhône (07),Non,N'accède pas au second tour
Jean-Pierre Maggi,Député,Sans étiquette,Bouches-du-Rhône (08),Non,Ne se représente pas
Bernard Deflesselles,Député,Les Républicains,Bouches-du-Rhône (09),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
François-Michel Lambert,Député,Union des démocrates et écologistes,Bouches-du-Rhône (10),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Christian Kert,Député,Les Républicains,Bouches-du-Rhône (11),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Vincent Burroni,Député,Parti socialiste,Bouches-du-Rhône (12),Non,Ne se représente pas
Gaby Charroux,Député,Parti Communiste Français,Bouches-du-Rhône (13),Non,Se présente comme suppléant
Jean-David Ciot,Député,Parti socialiste,Bouches-du-Rhône (14),Non,N'accède pas au second tour
Bernard Reynès,Député,Les Républicains,Bouches-du-Rhône (15),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michel Vauzelle,Député,Parti socialiste,Bouches-du-Rhône (16),Non,Ne se représente pas
Philippe Duron,Député,Parti socialiste,Calvados (1),Non,Ne se représente pas
Laurence Dumont,Député,Parti socialiste,Calvados (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Nicole Ameline,Député,Les Républicains,Calvados (4),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Isabelle Attard,Député,Sans étiquette,Calvados (5),Non,N'accède pas au second tour
Alain Tourret,Député,Parti Radical de Gauche,Calvados (6),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Alain Calmette,Député,Parti socialiste,Cantal (1),Non,Ne se représente pas
Alain Marleix,Député,Les Républicains,Cantal (2),Non,Se présente comme suppléant
Marie-Line Reynaud,Député,Parti socialiste,Charente (2),Non,Ne se représente pas
Jérôme Lambert,Député,Sans étiquette,Charente (3),Non,N'accède pas au second tour
Olivier Falorni,Député,Divers gauche,Charente-Maritime (1),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Suzanne Tallard,Député,Parti socialiste,Charente-Maritime (2),Non,Ne se représente pas
Catherine Quéré,Député,Parti socialiste,Charente-Maritime (3),Non,Ne se représente pas
Dominique Bussereau,Député,Les Républicains,Charente-Maritime (4),Non,Ne se représente pas
Didier Quentin,Député,Les Républicains,Charente-Maritime (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Yves Fromion,Député,Les Républicains,Cher (1),Non,Ne se représente pas
Nicolas Sansu,Député,Parti Communiste Français,Cher (2),Oui,Accède au second tour des législatives sous l'étiquette Parti communiste français
Yann Galut,Député,Parti socialiste,Cher (3),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Alain Ballay,Député,Parti socialiste,Corrèze (1),Non,Ne se représente pas
Philippe Nauche,Député,Parti socialiste,Corrèze (2),Non,N'accède pas au second tour
Laurent Marcangeli,Député,Les Républicains,Corse-du-Sud (1),Non,Ne se représente pas
Camille de Rocca Serra,Député,Les Républicains,Corse-du-Sud (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Laurent Grandguillaume,Député,Parti socialiste,Côte-d'Or (1),Non,Ne se représente pas
Rémi Delatte,Député,Les Républicains,Côte-d'Or (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Kheira Bouziane-Laroussi,Député,Parti socialiste,Côte-d'Or (3),Non,N'accède pas au second tour
Alain Suguenot,Député,Les Républicains,Côte-d'Or (5),Non,Se présente comme suppléant
Michel Lesage,Député,Parti socialiste,Côtes-d'Armor (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Viviane Le Dissez,Député,Parti socialiste,Côtes-d'Armor (2),Non,N'accède pas au second tour
Marc Le Fur,Député,Les Républicains,Côtes-d'Armor (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Annie Le Houérou,Député,Parti socialiste,Côtes-d'Armor (4),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Eric Bothorel,Député,La République En Marche,Côtes-d'Armor (5),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Michel Vergnier,Député,Parti socialiste,Creuse (1),Non,N'accède pas au second tour
Geneviève Gaillard,Député,Parti socialiste,Deux-Sèvres (1),Non,Ne se représente pas
Delphine Batho,Député,Parti socialiste,Deux-Sèvres (2),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Jean Grellier,Député,Parti socialiste,Deux-Sèvres (3),Non,Ne se représente pas
Pascal Deguilhem,Député,Parti socialiste,Dordogne (1),Non,Ne se représente pas
Brigitte Allain,Député,Europe Écologie Les Verts,Dordogne (2),Non,N'accède pas au second tour
Colette Langlade,Député,Parti socialiste,Dordogne (3),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Germinal Peiro,Député,Parti socialiste,Dordogne (4),Non,Ne se représente pas
Barbara Romagnan,Député,Parti socialiste,Doubs (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Eric Alauzet,Député,Europe Écologie Les Verts,Doubs (2),Oui,Accède au second tour des législatives sous l'étiquette Écologiste
Marcel Bonnot,Député,Les Républicains,Doubs (3),Non,Ne se représente pas
Frédéric Barbier,Député,Parti socialiste,Doubs (4),Oui,Accède au second tour des législatives sous l'étiquette La République En Marche
Annie Genevard,Député,Les Républicains,Doubs (5),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Patrick Labaune,Député,Les Républicains,Drôme (1),Non,Ne se représente pas
Franck Reynier,Député,Parti Radical/UDI,Drôme (2),Non,N'accède pas au second tour
Hervé Mariton,Député,Les Républicains,Drôme (3),Non,Se présente comme suppléant
Nathalie Nieson,Député,Parti socialiste,Drôme (4),Non,Ne se représente pas
Manuel Valls,Député,Parti socialiste,Essonne (01),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Franck Marlin,Député,Les Républicains,Essonne (02),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Michel Pouzol,Député,Parti socialiste,Essonne (03),Non,N'accède pas au second tour
Nathalie Kosciusko-Morizet,Député,Les Républicains,Essonne (04),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Maud Olivier,Député,Parti socialiste,Essonne (05),Non,N'accède pas au second tour
François Lamy,Député,Parti socialiste,Essonne (06),Non,N'accède pas au second tour
Eva Sas,Député,Europe Écologie Les Verts,Essonne (07),Non,N'accède pas au second tour
Nicolas Dupont-Aignan,Député,Debout La France,Essonne (08),Oui,Accède au second tour des législatives sous l'étiquette Debout la France
Malek Boutih,Député,Parti socialiste,Essonne (10),Non,N'accède pas au second tour
Florian Philippot,Député Européen,Front National,Est,Oui,Accède au second tour des législatives sous l'étiquette Front National
Dominique Bilde,Député Européen,Front National,Est,Non,N'accède pas au second tour
Sophie Montel,Député Européen,Front National,Est,Oui,Accède au second tour des législatives sous l'étiquette Front National
Jean-Louis Destans,Député,Parti socialiste,Eure (2),Non,Ne se représente pas
François Loncle,Député,Parti socialiste,Eure (4),Non,Ne se représente pas
Franck Gilard,Député,Les Républicains,Eure (5),Non,Ne se représente pas
Jean-Pierre Gorges,Député,Les Républicains,Eure-et-Loir (1),Non,Ne se représente pas
Olivier Marleix,Député,Les Républicains,Eure-et-Loir (2),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Laure de La Raudière,Député,Les Républicains,Eure-et-Loir (3),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Philippe Vigier,Député,Nouveau Centre/UDI,Eure-et-Loir (4),Oui,Accède au second tour des législatives sous l'étiquette Union des Démocrates et Indépendants
Jean-Jacques Urvoas,Député,Parti socialiste,Finistère (1),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Patricia Adam,Député,Parti socialiste,Finistère (2),Non,N'accède pas au second tour
Jean-Luc Bleunven,Député,Divers gauche,Finistère (3),Oui,Accède au second tour des législatives sous l'étiquette Divers gauche
Marylise Lebranchu,Député,Parti socialiste,Finistère (4),Non,Ne se représente pas
Chantal Guittet,Député,Parti socialiste,Finistère (5),Non,N'accède pas au second tour
Annick Le Loch,Député,Parti socialiste,Finistère (7),Non,Ne se représente pas
Gilbert Le Bris,Député,Parti socialiste,Finistère (8),Non,Ne se représente pas
Frédéric Lefebvre,Député,Les Républicains,Français établis hors de France (01),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
Sergio Coronado,Député,Europe Écologie Les Verts,Français établis hors de France (02),Oui,Accède au second tour des législatives sous l'étiquette Écologiste
Axelle Lemaire,Député,Parti socialiste,Français établis hors de France (03),Oui,Accède au second tour des législatives sous l'étiquette Parti Socialiste
Philip Cordery,Député,Parti socialiste,Français établis hors de France (04),Non,N'accède pas au second tour
Arnaud Leroy,Député,La République En Marche,Français établis hors de France (05),Non,Ne se représente pas
Claudine Schmid,Député,Les Républicains,Français établis hors de France (06),Oui,Accède au second tour des législatives sous l'étiquette Les Républicains
