Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion
Laurence Abeille,Val-de-Marne (06),Député,Europe Écologie Les Verts
Patricia Adam,Finistère (2),Député,Parti socialiste
Leila Aïchi,Paris,Sénateur,Europe Écologie Les Verts
Sylviane Alaux,Pyrénées-Atlantiques (6),Député,Parti socialiste
Brigitte Allain,Dordogne (2),Député,Europe Écologie Les Verts
Michèle Alliot-Marie,Sud-Ouest,Député Européen,Les Républicains
Nicole Ameline,Calvados (4),Député,Les Républicains
Michèle André,Puy-de-Dôme,Sénateur,Parti socialiste
Sylvie Andrieux,Bouches-du-Rhône (03),Député,Sans étiquette
Nathalie Appéré,Ille-et-Vilaine (2),Député,Parti socialiste
Aline Archimbaud,Seine-Saint-Denis,Sénateur,Union des Démocrates et des Ecologistes
Marie-Christine Arnautu,Sud-Est,Député Européen,Front National
Laurence Arribagé,Haute-Garonne (03),Député,Les Républicains
Éliane Assassi,Seine-Saint-Denis,Sénateur,Parti Communiste Français
Isabelle Attard,Calvados (5),Député,Sans étiquette
Danielle Auroi,Puy-de-Dôme (3),Député,Europe Écologie Les Verts
Ericka Bareigts,Réunion (1),Député,Parti socialiste
Delphine Bataille,Nord,Sénateur,Parti socialiste
Delphine Batho,Deux-Sèvres (2),Député,Parti socialiste
Marie-Noëlle Battistel,Isère (04),Député,Parti socialiste
Catherine Beaubatie,Haute-Vienne (3),Député,Parti socialiste
Marie-France Beaufils,Indre-et-Loire,Sénateur,Front De Gauche
Marie-Françoise Bechtel,Aisne (4),Député,République Moderne
Huguette Bello,Réunion (2),Député,Pour La Réunion
Esther Benbassa,Val-de-Marne,Sénateur,Europe Écologie Les Verts
Pervenche Berès,Ile-de-France et Français établis hors de France,Député Européen,Parti socialiste
Karine Berger,Hautes-Alpes (1),Député,Parti socialiste
Joëlle Bergeron,Ouest,Député Européen,Sans étiquette
Chantal Berthelot,Guyane (2),Député,A Gauche en Guyane
Véronique Besse,Vendée (4),Député,Mouvement Pour la France
Gisèle Biémouret,Gers (2),Député,Parti socialiste
Dominique Bilde,Est,Député Européen,Front National
Annick Billon,Vendée,Sénateur,Nouveau Centre/UDI
Marie-Christine Blandin,Nord,Sénateur,Europe Écologie Les Verts
