Titre,Mandat parlementaire,Parti politique d'adhésion,Soutien
Damien Abad,Député,Les Républicains,Parrainage à François Fillon
Patrick Abate,Sénateur,Parti Communiste Français,Parrainage à Philippe Poutou
Laurence Abeille,Député,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Ibrahim Aboubacar,Député,Parti socialiste,Parrainage à Benoît Hamon
Elie Aboud,Député,Les Républicains,Parrainage à François Fillon
Bernard Accoyer,Député,Les Républicains,Parrainage à François Fillon
Patricia Adam,Député,Parti socialiste,Parrainage à Benoît Hamon
Philippe Adnot,Sénateur,Mouvement Libéral et Modéré,N'a parrainé personne
Leila Aïchi,Sénateur,Europe Écologie Les Verts,Parrainage à Emmanuel Macron
Sylviane Alaux,Député,Parti socialiste,Parrainage à Benoît Hamon
Eric Alauzet,Député,Europe Écologie Les Verts,N'a parrainé personne
Yves Albarello,Député,Les Républicains,Parrainage à François Fillon
Louis Aliot,Député Européen,Front National,Parrainage à Marine Le Pen
Brigitte Allain,Député,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Michèle Alliot-Marie,Député Européen,Les Républicains,N'a parrainé personne
Pascal Allizard,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Pierre Allossery,Député,Parti socialiste,N'a parrainé personne
Nicole Ameline,Député,Les Républicains,Parrainage à François Fillon
Michel Amiel,Sénateur,La Force du 13,Parrainage à Emmanuel Macron
Pouria Amirshahi,Député,Sans étiquette,Parrainage à Benoît Hamon
François André,Député,Parti socialiste,N'a parrainé personne
Michèle André,Sénateur,Parti socialiste,N'a parrainé personne
Eric Andrieu,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Maurice Antiste,Sénateur,Parti socialiste,Parrainage à Philippe Poutou
Alain Anziani,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Benoist Apparu,Député,Les Républicains,N'a parrainé personne
Nathalie Appéré,Député,Parti socialiste,Parrainage à Benoît Hamon
Aline Archimbaud,Sénateur,Union des Démocrates et des Ecologistes,Parrainage à Emmanuel Macron
Kader Arif,Député,Parti socialiste,Parrainage à Benoît Hamon
Marie-Christine Arnautu,Député Européen,Front National,Parrainage à Marine Le Pen
Guillaume Arnell,Sénateur,Rassemblement Responsabilité Réussite,N'a parrainé personne
Laurence Arribagé,Député,Les Républicains,Parrainage à François Fillon
Jean Arthuis,Député Européen,Alliance Centriste/UDI,Parrainage à Emmanuel Macron
François Asensi,Député,Fédération pour une alternative sociale et écologique,Parrainage à Jean-Luc Mélenchon
Christian Assaf,Député,Parti socialiste,Parrainage à Benoît Hamon
Éliane Assassi,Sénateur,Parti Communiste Français,Parrainage à Jean-Luc Mélenchon
David Assouline,Sénateur,Parti socialiste,Parrainage à Benoît Hamon
Isabelle Attard,Député,Sans étiquette,Parrainage à Charlotte Marchandise
Julien Aubert,Député,Les Républicains,Parrainage à François Fillon
Olivier Audibert Troin,Député,Les Républicains,Parrainage à François Fillon
Danielle Auroi,Député,Europe Écologie Les Verts,Parrainage à Benoît Hamon
Pierre Aylagas,Député,Parti socialiste,Parrainage à Benoît Hamon
Bruno Nestor Azérot,Député,Divers gauche,N'a parrainé personne
Guillaume Bachelay,Député,Parti socialiste,Parrainage à Benoît Hamon
Alexis Bachelay,Député,Parti socialiste,Parrainage à Benoît Hamon
Jean-Paul Bacquet,Député,Parti socialiste,Parrainage à Benoît Hamon
Dominique Baert,Député,Parti socialiste,N'a parrainé personne
Guy Bailliart,Député,Parti socialiste,N'a parrainé personne
Dominique Bailly,Sénateur,Parti socialiste,N'a parrainé personne
Gérard Bailly,Sénateur,Les Républicains,N'a parrainé personne
Guillaume Balas,Député Européen,Parti socialiste,Parrainage à Benoît Hamon
Patrick Balkany,Député,Les Républicains,Parrainage à François Fillon
Alain Ballay,Député,Parti socialiste,Parrainage à Benoît Hamon
Gérard Bapt,Député,Parti socialiste,Parrainage à Benoît Hamon
Gilbert Barbier,Sénateur,Les Républicains,Parrainage à François Fillon
Jean-Pierre Barbier,Député,Les Républicains,Parrainage à François Fillon
Frédéric Barbier,Député,Parti socialiste,Parrainage à Benoît Hamon
