Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion,
Patrick Abate,Moselle,Sénateur,Parti Communiste Français,
Philippe Adnot,Aube,Sénateur,Mouvement Libéral et Modéré,
Leila Aïchi,Paris,Sénateur,Europe Écologie Les Verts,
Pascal Allizard,Calvados,Sénateur,Les Républicains,
Michel Amiel,Bouches-du-Rhône,Sénateur,La Force du 13,
Michèle André,Puy-de-Dôme,Sénateur,Parti socialiste,
Maurice Antiste,Martinique,Sénateur,Parti socialiste,
Alain Anziani,Gironde,Sénateur,Parti socialiste,
Aline Archimbaud,Seine-Saint-Denis,Sénateur,Union des Démocrates et des Ecologistes,
Guillaume Arnell,Saint-Martin,Sénateur,Rassemblement Responsabilité Réussite,
Éliane Assassi,Seine-Saint-Denis,Sénateur,Parti Communiste Français,
David Assouline,Paris,Sénateur,Parti socialiste,
Dominique Bailly,Nord,Sénateur,Parti socialiste,
Gérard Bailly,Jura ,Sénateur,Les Républicains,
Gilbert Barbier,Jura ,Sénateur,Les Républicains,
François Baroin,Aube,Sénateur,Les Républicains,
Philippe Bas,Manche,Sénateur,Les Républicains,
Delphine Bataille,Nord,Sénateur,Parti socialiste,
Marie-France Beaufils,Indre-et-Loire,Sénateur,Front De Gauche,
Christophe Béchu,Maine-et-Loire,Sénateur,Les Républicains,
Esther Benbassa,Val-de-Marne,Sénateur,Europe Écologie Les Verts,
Claude Bérit-Débat,Dordogne,Sénateur,Parti socialiste,
Michel Berson,Essonne,Sénateur,Parti socialiste,
Alain Bertrand,Lozère,Sénateur,Parti socialiste,
Jérôme Bignon,Somme,Sénateur,Les Républicains,
Jacques Bigot,Bas-Rhin ,Sénateur,Parti socialiste,
Annick Billon,Vendée,Sénateur,Nouveau Centre/UDI,
Michel Billout,Seine-et-Marne,Sénateur,Parti Communiste Français,
Jean Bizet,Manche,Sénateur,Les Républicains,
Marie-Christine Blandin,Nord,Sénateur,Europe Écologie Les Verts,
Maryvonne Blondin,Finistère,Sénateur,Parti socialiste,
Jean-Marie Bockel,Haut-Rhin,Sénateur,Parti Radical/UDI et La Gauche Moderne,
Éric Bocquet,Nord,Sénateur,Parti Communiste Français,
François Bonhomme,Tarn-et-Garonne,Sénateur,Les Républicains,
Philippe Bonnecarrère,Tarn,Sénateur,Sans étiquette,
Nicole Bonnefoy,Charente,Sénateur,Parti socialiste,
Jean-Pierre Bosino,Oise,Sénateur,Parti Communiste Français,
Yannick Botrel,Côtes-d'Armor,Sénateur,Parti socialiste,
Natacha Bouchart,Pas-de-Calais,Sénateur,Les Républicains,
Gilbert Bouchet,Drôme,Sénateur,Les Républicains,
Corinne Bouchoux,Maine-et-Loire ,Sénateur,Europe Écologie Les Verts,
Jean-Claude Boulard,Sarthe,Sénateur,Parti socialiste,
Martial Bourquin,Doubs,Sénateur,Parti socialiste,
Michel Boutant,Charente,Sénateur,Parti socialiste,
Michel Bouvard,Savoie,Sénateur,Les Républicains,
Nicole Bricq,Seine-et-Marne,Sénateur,Parti socialiste,
François-Noël Buffet,Rhône,Sénateur,Les Républicains,
Henri Cabanel,Hérault,Sénateur,Parti socialiste,
Olivier Cadic,Français établis hors de France,Sénateur,UDI,
Jean-Pierre Caffet,Paris,Sénateur,Parti socialiste,
François Calvet,Pyrénées-Orientales,Sénateur,Les Républicains,
Pierre Camani,Lot-et-Garonne,Sénateur,Parti socialiste,
Christian Cambon,Val-de-Marne,Sénateur,Les Républicains,
Claire-Lise Campion,Essonne,Sénateur,Parti socialiste,
Agnès Canayer,Seine-Maritime,Sénateur,Les Républicains,
Michel Canevet,Finistère,Sénateur,UDI,
Jean-Pierre Cantegrit,Français établis hors de France,Sénateur,Les Républicains,
Vincent Capo-Canellas,Seine-Saint-Denis,Sénateur,UDI,
Thierry Carcenac,Tarn,Sénateur,Parti socialiste,
Jean-Noël Cardoux,Loiret,Sénateur,Les Républicains,
Jean-Claude Carle,Haute-Savoie,Sénateur,Les Républicains,
Jean-Louis Carrère,Landes,Sénateur,Parti socialiste,
Françoise Cartron,Gironde,Sénateur,Parti socialiste,
Luc Carvounas,Val-de-Marne,Sénateur,Parti socialiste,
Joseph Castelli,Haute-Corse,Sénateur,Parti Radical de Gauche,
Caroline Cayeux,Oise,Sénateur,Les Républicains,
Bernard Cazeau,Dordogne,Sénateur,Parti socialiste,
Gérard César,Gironde,Sénateur,Les Républicains,
Anne Chain-Larché,Seine-et-Marne,Sénateur,Les Républicains,
Patrick Chaize,Ain,Sénateur,Les Républicains,
Pierre Charon,Paris,Sénateur,Les Républicains,
Daniel Chasseing,Corrèze,Sénateur,Les Républicains,
Alain Chatillon,Haute-Garonne,Sénateur,UDI,
Jacques Chiron,Isère,Sénateur,Parti socialiste,
Olivier Cigolotti,Haute-Loire,Sénateur,Nouveau Centre/UDI,
Karine Claireaux,Saint-Pierre-et-Miquelon,Sénateur,Parti socialiste,
Laurence Cohen,Val-de-Marne,Sénateur,Parti Communiste Français,
Yvon Collin,Tarn-et-Garonne,Sénateur,Parti Radical de Gauche,
Gérard Collomb,Rhône,Sénateur,Parti socialiste,
Pierre-Yves Collombat,Var,Sénateur,Parti socialiste,
François Commeinhes,Hérault,Sénateur,Les Républicains,
Hélène Conway-Mouret,Français établis hors de France,Sénateur,Parti socialiste,
Jacques Cornano,Guadeloupe,Sénateur,Parti socialiste,
Gérard Cornu,Eure-et-Loir,Sénateur,Les Républicains,
Roland Courteau,Aude,Sénateur,Parti socialiste,
Cécile Cukierman,Loire,Sénateur,Parti Communiste Français,
Pierre Cuypers,Seine-et-Marne,Sénateur,Les Républicains,
Philippe Dallier,Seine-Saint-Denis,Sénateur,Les Républicains,
René Danesi,Haut-Rhin,Sénateur,Les Républicains,
Ronan Dantec,Loire-Atlantique,Sénateur,Europe Écologie Les Verts,
Mathieu Darnaud,Ardèche,Sénateur,Les Républicains,
Serge Dassault,Essonne,Sénateur,Les Républicains,
Yves Daudigny,Aisne ,Sénateur,Parti socialiste,
Marc Daunis,Alpes-Maritimes,Sénateur,Parti socialiste,
Annie David,Isère,Sénateur,Parti Communiste Français,
Dominique De Legge,Ille-et-Vilaine,Sénateur,Les Républicains,
Albéric De Montgolfier,Eure-et-Loir,Sénateur,Les Républicains,
Louis-Jean De Nicolay,Sarthe,Sénateur,Les Républicains,
Henri De Raincourt,Yonne,Sénateur,Les Républicains,
Marie-France de Rose,Hauts-de-Seine,Sénateur,Les Républicains,
Isabelle Debré,Hauts-de-Seine,Sénateur,Les Républicains,
Robert Del Picchia,Français établis hors de France,Sénateur,Les Républicains,
Vincent Delahaye,Essonne,Sénateur,Parti Radical/UDI,
Francis Delattre,Val-d'Oise ,Sénateur,Les Républicains,
Bernard Delcros,Cantal,Sénateur,Sans étiquette,
Michel Delebarre,Nord,Sénateur,Parti socialiste,
Michelle Demessine,Nord,Sénateur,Parti Communiste Français,
Gérard Dériot,Allier,Sénateur,Les Républicains,
Catherine Deroche,Maine-et-Loire,Sénateur,Les Républicains,
Jacky Deromedi,Français établis hors de France,Sénateur,Les Républicains,
Marie-Hélène Des Esgaulx,Gironde,Sénateur,Les Républicains,
Jean Desessard,Paris,Sénateur,Europe Écologie Les Verts,
Chantal Deseyne,Eure-et-Loir ,Sénateur,Les Républicains,
Félix Desplan,Guadeloupe,Sénateur,Parti socialiste,
Yves Détraigne,Marne,Sénateur,UDI,
Catherine Di Folco,Rhône,Sénateur,Divers droite,
Évelyne Didier,Meurthe-et-Moselle,Sénateur,Parti Communiste Français,
Élisabeth Doineau,Mayenne,Sénateur,UDI,
Éric Doligé,Loiret ,Sénateur,Les Républicains,
Philippe Dominati,Paris,Sénateur,Les Républicains,
Daniel Dubois,Somme,Sénateur,Nouveau Centre/UDI,
Marie-Annick Duchêne,Yvelines,Sénateur,Sans étiquette,
Alain Dufaut,Vaucluse,Sénateur,Les Républicains,
