Groupe Les Républicains,Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
Alain Suguenot,Abstention,Absent,Absent,Absent
Camille de Rocca Serra,Abstention,Absent,Absent,Absent
Christophe Guilloteau,Abstention,Absent,Absent,Absent
François de Mazières,Abstention,Absent,Absent,Absent
Isabelle Le Callennec,Abstention,Absent,Abstention,Absent
Jean-Michel Couve,Abstention,Absent,Absent,Absent
Philippe Le Ray,Abstention,Absent,Pour,Absent
Philippe Meunier,Abstention,Absent,Contre,Abstention
Alain Leboeuf,Contre,Absent,Contre,Pour
Anne Grommerch,Contre,Absent,Absent,Absent
Antoine Herth,Contre,Absent,Absent,Absent
Arlette Grosskost,Contre,Absent,Absent,Absent
Arnaud Robinet,Contre,Absent,Contre,Absent
Benoist Apparu,Contre,Absent,Absent,Absent
Bérengère Poletti,Contre,Absent,Absent,Absent
Bernard Debré,Contre,Contre,Contre,Absent
Bernard Perrut,Contre,Absent,Absent,Absent
Christophe Priou,Contre,Absent,Absent,Absent
Claude Sturni,Contre,Absent,Absent,Absent
Damien Meslot,Contre,Absent,Absent,Absent
Denis Jacquat,Contre,Absent,Absent,Absent
Didier Quentin,Contre,Absent,Absent,Absent
Dominique Bussereau,Contre,Absent,Absent,Absent
Dominique Dord,Contre,Absent,Absent,Absent
Dominique Le Mèner,Contre,Absent,Absent,Absent
Édouard Philippe,Contre,Absent,Absent,Absent
Étienne Blanc,Contre,Absent,Contre,Absent
François Cornut-Gentille,Contre,Absent,Absent,Absent
François Fillon,Contre,Absent,Absent,Absent
Frédéric Reiss,Contre,Absent,Absent,Absent
Geneviève Levy,Contre,Absent,Contre,Absent
Georges Ginesta,Contre,Absent,Absent,Absent
Gérard Cherpion,Contre,Absent,Contre,Absent
Gilles Lurton,Contre,Contre,Contre,Contre
Guénhaël Huet,Contre,Absent,Absent,Absent
Guy Geoffroy,Contre,Absent,Contre,Abstention
