"Groupe socialiste, républicain et citoyen",Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 2
Annick Lepetit,Abstention,Absent,Contre,Absent
Arnaud Leroy,Abstention,Absent,Contre,Absent
Bernard Roman,Abstention,Absent,Contre,Absent
Catherine Quéré,Abstention,Absent,Absent,Absent
Cécile Untermaier,Abstention,Pour,Contre,Absent
Chantal Berthelot,Abstention,Absent,Absent,Absent
Delphine Batho,Abstention,Pour,Contre,Absent
Dominique Chauvel,Abstention,Absent,Absent,Absent
Élisabeth Pochon,Abstention,Pour,Contre,Pour
Florent Boudié,Abstention,Pour,Contre,Absent
Guy Delcourt,Abstention,Pour,Contre,Absent
Henri Jibrayel,Abstention,Pour,Contre,Absent
Jean-David Ciot,Abstention,Absent,Abstention,Absent
Jean-Louis Bricout,Abstention,Absent,Contre,Absent
Jean-Louis Gagnaire,Abstention,Pour,Abstention,Absent
Jean-Louis Touraine,Abstention,Pour,Abstention,Pour
Jean-Paul Chanteguet,Abstention,Absent,Contre,Absent
Marie-Françoise Clergeau,Abstention,Absent,Contre,Absent
Marie-Noëlle Battistel,Abstention,Absent,Contre,Absent
Michel Ménard,Abstention,Absent,Abstention,Pour
Michel Vauzelle,Abstention,Absent,Absent,Absent
Monique Orphé,Abstention,Absent,Abstention,Absent
Olivier Faure,Abstention,Pour,Contre,Pour
Paola Zanetti,Abstention,Pour,Abstention,Pour
Patrick Bloche,Abstention,Pour,Contre,Absent
Patrick Vignal,Abstention,Absent,Contre,Absent
Philip Cordery,Abstention,Absent,Contre,Absent
Romain Colas,Abstention,Absent,Contre,Absent
Sandrine Mazetier,Abstention,Absent,Abstention,Pour
Sébastien Pietrasanta,Abstention,Pour,Contre,Absent
Serge Janquin,Abstention,Pour,Contre,Absent
Serge Letchimy,Abstention,Absent,Absent,Absent
Seybah Dagoma,Abstention,Pour,Contre,Absent
Stéphane Travert,Abstention,Absent,Contre,Absent
Vincent Burroni,Abstention,Absent,Absent,Absent
Viviane Le Dissez,Abstention,Absent,Contre,Absent
Alexis Bachelay,Contre,Absent,Contre,Abstention
Anne-Lise Dufour-Tonini,Contre,Pour,Contre,Pour
Audrey Linkenheld,Contre,Pour,Contre,Pour
Aurélie Filippetti,Contre,Absent,Contre,Contre
Barbara Romagnan,Contre,Contre,Contre,Contre
Benoît Hamon,Contre,Contre,Contre,Absent
Catherine Coutelle,Contre,Abstention,Contre,Absent
Catherine Lemorton,Contre,Absent,Contre,Absent
Chantal Guittet,Contre,Absent,Absent,Absent
Chaynesse Khirouni,Contre,Pour,Contre,Pour
Christian Assaf,Contre,Pour,Contre,Pour
Christian Paul,Contre,Absent,Contre,Absent
Christine Pires Beaune,Contre,Absent,Contre,Pour
Christophe Léonard,Contre,Pour,Contre,Pour
Christophe Premat,Contre,Absent,Absent,Pour
Christophe Sirugue,Contre,Absent,Contre,Absent
Colette Capdevielle,Contre,Absent,Contre,Pour
Conchita Lacuey,Contre,Absent,Absent,Absent
Daniel Goldberg,Contre,Absent,Contre,Pour
Denys Robiliard,Contre,Pour,Contre,Absent
Dominique Potier,Contre,Absent,Absent,Absent
Edith Gueugneau,Contre,Absent,Contre,Absent
Fanélie Carrey-Conte,Contre,Contre,Contre,Contre
Florence Delaunay,Contre,Absent,Absent,Absent
François Lamy,Contre,Absent,Contre,Absent
Geneviève Gaillard,Contre,Contre,Contre,Absent
Gérard Sebaoun,Contre,Contre,Contre,Contre
Gwenegan Bui,Contre,Pour,Contre,Absent
Hélène Geoffroy,Contre,Pour,Contre,Pour
Hervé Féron,Contre,Absent,Pour,Absent
Isabelle Bruneau,Contre,Absent,Contre,Absent
Jacques Valax,Contre,Absent,Absent,Absent
Jean-Luc Bleunven,Contre,Absent,Absent,Absent
Jean-Luc Laurent,Contre,Pour,Contre,Pour
Jean-Marc Germain,Contre,Absent,Contre,Pour
Jean-Michel Clément,Contre,Absent,Contre,Pour
Jean-Patrick Gille,Contre,Absent,Contre,Absent
Jean-Paul Bacquet,Contre,Absent,Contre,Absent
Jean-Pierre Blazy,Contre,Contre,Contre,Absent
Jean-Pierre Dufau,Contre,Absent,Contre,Absent
Jean-René Marsac,Contre,Absent,Absent,Absent
Julie Sommaruga,Contre,Absent,Contre,Absent
Kader Arif,Contre,Absent,Contre,Absent
Kheira Bouziane-Laroussi,Contre,Abstention,Contre,Absent
Kléber Mesquida,Contre,Absent,Contre,Absent
Laurence Dumont,Contre,Pour,Contre,Absent
Laurent Baumel,Contre,Pour,Contre,Absent
Laurent Cathala,Contre,Absent,Contre,Absent
Linda Gourjade,Contre,Absent,Contre,Absent
Marcel Rogemont,Contre,Absent,Absent,Absent
Marie Récalde,Contre,Absent,Contre,Absent
Marie-Arlette Carlotti,Contre,Pour,Contre,Absent
Marie-Line Reynaud,Contre,Pour,Contre,Absent
Marie-Lou Marcel,Contre,Pour,Contre,Pour
Marie-Odile Bouillé,Contre,Absent,Absent,Absent
Martine Faure,Contre,Absent,Contre,Absent
